 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
53,287.292,9402.771,3746.807,4247,19750,634.857,395.449,634.212,394.240,60.051,625.299,385.891,19.115,19.115,1.000,1.000,1.000,1.000
54,76.220,8555.313,2239.243,5314,18504,634.951,395.733,634.649,395.405,30.917,630.031,390.812,9.841,9.841,1.000,1.000,1.000,0.998
55,228.373,14094.074,2020.131,8655,20531,659.744,443.993,659.635,443.633,53.511,651.227,435.476,17.033,17.033,1.000,1.000,1.000,1.003
56,57.201,14597.512,1599.256,10065,18849,660.217,445.223,660.175,445.017,26.755,655.959,440.965,8.516,8.516,1.000,1.000,1.000,1.010
57,162.898,8354.850,2103.103,3986,16278,728.254,245.086,728.558,245.285,45.187,721.062,237.894,14.383,14.383,1.000,1.000,1.000,1.008
58,43.017,8748.680,1371.414,5375,12062,727.024,246.505,726.805,246.617,23.188,723.333,242.814,7.381,7.381,1.000,1.000,1.000,1.003
59,88.541,2217.357,3260.803,0,20057,300.727,398.193,300.012,398.091,33.296,295.427,392.894,10.598,10.598,1.000,1.000,1.000,0.997
60,20.667,7025.282,3647.025,227,20057,299.686,397.909,299.636,397.813,16.053,297.131,395.354,5.110,5.110,1.000,1.000,1.000,0.993
61,91.729,3194.478,3884.133,0,21797,308.202,407.940,308.910,407.236,33.890,302.808,402.546,10.788,10.788,1.000,1.000,1.000,1.003
62,22.064,8850.828,3777.582,166,21797,310.000,407.466,309.854,407.387,16.648,307.350,404.817,5.299,5.299,1.000,1.000,1.000,0.981
63,67.516,1637.432,2608.267,0,17498,293.819,418.916,294.661,418.719,29.134,289.182,414.280,9.274,9.274,1.000,1.000,1.000,0.998
64,16.046,5518.051,2781.289,81,17498,294.860,418.633,294.861,418.668,14.270,292.589,416.361,4.542,4.542,0.990,1.000,1.000,0.991
65,70.775,1342.157,1966.853,0,13358,299.213,411.630,298.673,410.749,29.728,294.481,406.899,9.463,9.463,1.000,1.000,1.000,1.006
66,22.064,3443.026,2308.745,0,13358,298.455,410.495,298.471,410.534,16.648,295.806,407.845,5.299,5.299,1.000,1.000,1.000,0.981
67,6481.542,5732.262,8482.040,0,43168,325.519,451.374,326.920,450.655,285.390,280.098,405.952,90.843,90.843,1.000,1.000,1.000,1.001
68,1945.501,17859.003,5258.481,80,43168,326.749,451.847,327.122,450.843,156.370,301.862,426.960,49.774,49.774,1.000,1.000,1.000,1.000
69,5323.955,3952.889,6422.465,0,33263,407.372,487.427,407.037,488.111,258.635,366.209,446.264,82.326,82.326,1.000,1.000,1.000,1.000
70,1300.499,14130.198,5087.529,0,33263,407.750,489.698,407.151,488.715,127.831,387.405,469.353,40.690,40.690,1.000,1.000,1.000,1.000
71,2953.228,4021.442,6442.271,0,41327,389.487,407.088,391.987,407.744,192.638,358.828,376.429,61.319,61.319,1.000,1.000,1.000,1.000
72,616.062,15049.532,6309.426,190,41327,392.326,406.899,391.952,407.296,87.995,378.321,392.894,28.010,28.010,1.000,1.000,1.000,1.001
73,3913.747,4002.053,6422.144,0,42300,480.235,330.156,482.882,329.279,221.772,444.939,294.860,70.592,70.592,1.000,1.000,1.000,1.000
74,832.256,14998.708,5847.173,22,42300,482.412,328.547,483.136,329.191,102.265,466.136,312.271,32.552,32.552,1.000,1.000,1.000,0.999
75,676.701,8316.808,12908.735,0,56786,292.305,232.879,292.063,232.541,92.157,277.637,218.211,29.335,29.335,1.000,1.000,1.000,0.999
76,158.349,29725.338,9723.268,100,56786,291.737,233.446,291.783,233.168,44.592,284.640,226.349,14.194,14.194,1.000,1.000,1.000,1.012
77,91.729,4981.292,7622.993,0,33047,287.573,252.561,287.864,252.532,33.890,282.180,247.167,10.788,10.788,1.000,1.000,1.000,1.003
78,20.667,17718.910,5925.976,1475,33047,287.763,252.372,287.871,252.448,16.053,285.208,249.817,5.110,5.110,1.000,1.000,1.000,0.993
79,1449.500,6062.125,8814.908,0,54262,385.229,231.554,384.241,231.484,134.966,363.749,210.073,42.961,42.961,1.000,1.000,1.000,0.999
80,359.214,18460.481,10135.824,140,54262,385.040,231.175,384.910,231.354,67.186,374.347,220.482,21.386,21.386,1.000,1.000,1.000,1.007
81,9826.220,5065.661,8337.416,0,46945,179.509,620.852,180.972,625.200,351.387,123.584,564.927,111.850,111.850,1.000,1.000,1.000,1.000
82,2739.039,16919.893,7206.088,0,46945,180.171,620.000,181.094,624.737,185.504,150.647,590.476,59.048,59.048,1.000,1.000,1.000,1.001
83,9013.126,13910.507,19923.872,0,65534,271.013,693.431,269.168,689.722,336.523,217.454,639.872,107.118,107.118,1.000,1.000,1.000,1.000
84,2774.140,42806.867,8362.492,1257,65534,269.499,689.646,269.330,689.647,186.693,239.786,659.933,59.426,59.426,1.000,1.000,1.000,1.000
